,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,0.04
1,20,0.0,199,4000,0.14
2,20,-1.0,299,6000,0.16
3,20,0.0,399,8000,0.15
4,20,1.0,499,10000,0.08
5,20,0.0,599,12000,0.08
6,20,0.0,699,14000,0.19
7,20,0.0,799,16000,0.17
8,20,0.0,899,18000,0.18
9,20,0.0,999,20000,0.24
10,20,0.0,1099,22000,0.19
11,20,1.0,1199,24000,0.21
12,20,1.0,1299,26000,0.19
13,20,0.0,1399,28000,0.24
14,20,1.0,1499,30000,0.23
15,20,-1.0,1599,32000,0.19
16,20,0.0,1699,34000,0.19
17,20,0.0,1799,36000,0.31
18,20,0.0,1899,38000,0.17
19,20,1.0,1999,40000,0.22
20,20,1.0,2099,42000,0.14
21,20,0.0,2199,44000,0.17
22,20,0.0,2299,46000,0.17
23,20,0.0,2399,48000,0.2
24,20,1.0,2499,50000,0.14
25,20,0.0,2599,52000,0.1
26,20,0.0,2699,54000,0.2
27,20,1.0,2799,56000,0.2
28,20,-1.0,2899,58000,0.2
29,20,0.0,2999,60000,0.12
30,20,0.0,3099,62000,0.16
31,20,1.0,3199,64000,0.2
32,20,1.0,3299,66000,0.2
33,20,0.0,3399,68000,0.27
34,20,0.0,3499,70000,0.17
35,20,0.0,3599,72000,0.2
36,20,1.0,3699,74000,0.12
37,20,-1.0,3799,76000,0.25
38,20,1.0,3899,78000,0.14
39,20,1.0,3999,80000,0.2
40,20,1.0,4099,82000,0.19
41,20,0.0,4199,84000,0.18
42,20,0.0,4299,86000,0.24
43,20,0.0,4399,88000,0.21
44,20,0.0,4499,90000,0.16
45,20,0.0,4599,92000,0.26
46,20,0.0,4699,94000,0.25
47,20,0.0,4799,96000,0.24
48,20,0.0,4899,98000,0.24
49,20,0.0,4999,100000,0.31
50,20,1.0,5099,102000,0.23
51,20,0.0,5199,104000,0.22
52,20,0.0,5299,106000,0.27
53,20,1.0,5399,108000,0.19
54,20,1.0,5499,110000,0.19
55,20,0.0,5599,112000,0.23
56,20,1.0,5699,114000,0.29
57,20,1.0,5799,116000,0.17
58,20,0.0,5899,118000,0.25
59,20,-1.0,5999,120000,0.17
60,20,1.0,6099,122000,0.22
61,20,0.0,6199,124000,0.38
62,20,1.0,6299,126000,0.3
63,20,0.0,6399,128000,0.25
64,20,0.0,6499,130000,0.26
65,20,1.0,6599,132000,0.22
66,20,0.0,6699,134000,0.2
67,20,0.0,6799,136000,0.22
68,20,1.0,6899,138000,0.26
69,20,0.0,6999,140000,0.26
70,20,1.0,7099,142000,0.22
71,20,0.0,7199,144000,0.17
72,20,0.0,7299,146000,0.13
73,20,1.0,7399,148000,0.21
74,20,0.0,7499,150000,0.24
75,20,1.0,7599,152000,0.31
76,20,0.0,7699,154000,0.26
77,20,1.0,7799,156000,0.26
78,20,1.0,7899,158000,0.33
79,20,0.0,7999,160000,0.24
80,20,0.0,8099,162000,0.2
81,20,-1.0,8199,164000,0.25
82,20,-1.0,8299,166000,0.3
83,20,1.0,8399,168000,0.23
84,20,1.0,8499,170000,0.24
85,20,0.0,8599,172000,0.17
86,20,1.0,8699,174000,0.24
87,20,1.0,8799,176000,0.22
88,20,0.0,8899,178000,0.3
89,20,0.0,8999,180000,0.14
90,20,1.0,9099,182000,0.21
91,20,1.0,9199,184000,0.33
92,20,0.0,9299,186000,0.32
93,20,0.0,9399,188000,0.14
94,20,1.0,9499,190000,0.22
95,20,0.0,9599,192000,0.31
96,20,0.0,9699,194000,0.28
97,20,1.0,9799,196000,0.26
98,20,-1.0,9899,198000,0.31
99,20,0.0,9999,200000,0.31
100,20,1.0,10099,202000,0.24
101,20,0.0,10199,204000,0.33
102,20,0.0,10299,206000,0.17
103,20,0.0,10399,208000,0.19
104,20,0.0,10499,210000,0.18
105,20,1.0,10599,212000,0.15
106,20,0.0,10699,214000,0.21
107,20,0.0,10799,216000,0.33
108,20,0.0,10899,218000,0.27
109,20,0.0,10999,220000,0.27
110,20,-1.0,11099,222000,0.3
111,20,0.0,11199,224000,0.1
112,20,0.0,11299,226000,0.28
113,20,0.0,11399,228000,0.19
114,20,-1.0,11499,230000,0.3
115,20,0.0,11599,232000,0.41
116,20,1.0,11699,234000,0.34
117,20,0.0,11799,236000,0.31
118,20,0.0,11899,238000,0.25
119,20,1.0,11999,240000,0.24
120,20,0.0,12099,242000,0.26
121,20,-1.0,12199,244000,0.36
122,20,0.0,12299,246000,0.28
123,20,0.0,12399,248000,0.21
124,20,0.0,12499,250000,0.32
125,20,0.0,12599,252000,0.31
126,20,1.0,12699,254000,0.37
127,20,0.0,12799,256000,0.2
128,20,0.0,12899,258000,0.34
129,20,1.0,12999,260000,0.32
130,20,0.0,13099,262000,0.35
131,20,1.0,13199,264000,0.23
132,20,1.0,13299,266000,0.26
133,20,0.0,13399,268000,0.21
134,20,0.0,13499,270000,0.22
135,20,0.0,13599,272000,0.25
136,20,1.0,13699,274000,0.28
137,20,0.0,13799,276000,0.22
138,20,0.0,13899,278000,0.27
139,20,1.0,13999,280000,0.48
140,20,0.0,14099,282000,0.31
141,20,-1.0,14199,284000,0.28
142,20,1.0,14299,286000,0.33
143,20,0.0,14399,288000,0.33
144,20,0.0,14499,290000,0.28
145,20,-1.0,14599,292000,0.4
146,20,0.0,14699,294000,0.35
147,20,1.0,14799,296000,0.22
148,20,1.0,14899,298000,0.34
149,20,1.0,14999,300000,0.21
150,20,1.0,15099,302000,0.17
151,20,0.0,15199,304000,0.27
152,20,0.0,15299,306000,0.41
153,20,1.0,15399,308000,0.31
154,20,0.0,15499,310000,0.27
155,20,0.0,15599,312000,0.38
156,20,0.0,15699,314000,0.25
157,20,0.0,15799,316000,0.18
158,20,1.0,15899,318000,0.34
159,20,1.0,15999,320000,0.33
160,20,0.0,16099,322000,0.33
161,20,1.0,16199,324000,0.25
162,20,0.0,16299,326000,0.28
163,20,1.0,16399,328000,0.32
164,20,0.0,16499,330000,0.22
165,20,0.0,16599,332000,0.32
166,20,0.0,16699,334000,0.25
167,20,1.0,16799,336000,0.24
168,20,0.0,16899,338000,0.36
169,20,1.0,16999,340000,0.36
170,20,0.0,17099,342000,0.37
171,20,1.0,17199,344000,0.39
172,20,1.0,17299,346000,0.34
173,20,0.0,17399,348000,0.34
174,20,0.0,17499,350000,0.36
175,20,1.0,17599,352000,0.35
176,20,0.0,17699,354000,0.34
177,20,0.0,17799,356000,0.29
178,20,0.0,17899,358000,0.25
179,20,0.0,17999,360000,0.31
180,20,0.0,18099,362000,0.39
181,20,0.0,18199,364000,0.3
182,20,0.0,18299,366000,0.32
183,20,0.0,18399,368000,0.23
184,20,1.0,18499,370000,0.34
185,20,1.0,18599,372000,0.37
186,20,1.0,18699,374000,0.32
187,20,0.0,18799,376000,0.33
188,20,1.0,18899,378000,0.29
189,20,0.0,18999,380000,0.28
190,20,1.0,19099,382000,0.4
191,20,0.0,19199,384000,0.29
192,20,1.0,19299,386000,0.35
193,20,1.0,19399,388000,0.27
194,20,1.0,19499,390000,0.31
195,20,1.0,19599,392000,0.27
196,20,0.0,19699,394000,0.33
197,20,0.0,19799,396000,0.31
198,20,0.0,19899,398000,0.36
199,20,1.0,19999,400000,0.36
